Population,Sample,Mut,Severity,col,row
PJL,9,9,9,1,932
PJL,9,9,9,1,933
PJL,9,9,9,1,934
PJL,9,9,9,1,935
PJL,9,9,9,1,936
PJL,9,9,9,1,937
PJL,9,9,9,1,938
PJL,9,9,9,1,939
BEB,14,14,14,1,940
BEB,14,14,14,1,941
PJL,9,9,9,1,942
PJL,9,9,9,1,943
CDX,5,5,5,1,944
CDX,5,5,5,1,945
PJL,9,9,9,1,946
PJL,9,9,9,1,947
CDX,5,5,5,1,948
PUR,4,4,4,1,949
PUR,4,4,4,1,950
PUR,4,4,4,1,951
PUR,4,4,4,1,952
PUR,4,4,4,1,953
PUR,4,4,4,1,954
PUR,4,4,4,1,955
PUR,4,4,4,1,956
PUR,4,4,4,1,957
PUR,4,4,4,1,958
PUR,4,4,4,1,959
PUR,4,4,4,1,960
PUR,4,4,4,1,961
PUR,4,4,4,1,962
CDX,5,5,5,1,963
CDX,5,5,5,1,964
PUR,4,4,4,1,965
PUR,4,4,4,1,966
PUR,4,4,4,1,967
PUR,4,4,4,1,968
PUR,4,4,4,1,969
CLM,6,6,6,1,970
CHS,3,3,3,1,971
CHS,3,3,3,1,972
CHS,3,3,3,1,973
CHS,3,3,3,1,974
CHS,3,3,3,1,975
CHS,3,3,3,1,976
CHS,3,3,3,1,977
CHS,3,3,3,1,978
PUR,4,4,4,1,979
CHS,3,3,3,1,980
CHS,3,3,3,1,981
CHS,3,3,3,1,982
CHS,3,3,3,1,983
CHS,3,3,3,1,984
CHS,3,3,3,1,985
CHS,3,3,3,1,986
CHS,3,3,3,1,987
CHS,3,3,3,1,988
CHS,3,3,3,1,989
CHS,3,3,3,1,990
CHS,3,3,3,1,991
CHS,3,3,3,1,992
